Word,SpamMessages,RealMessages
to renew,0.0,1.0
be,0.0,1.0
hook,1.0,0.0
program membership,0.0,2.0
thats it,1.0,0.0
claims,1.0,0.0
selfies,1.0,0.0
naked selfies,1.0,0.0
get,1.0,0.0
ios,0.0,2.0
of ems,0.0,1.0
be prepared,0.0,1.0
a past,1.0,0.0
get laid,1.0,0.0
work screw,1.0,0.0
and,0.0,1.0
urgent reply,1.0,0.0
song,1.0,0.0
sex,1.0,0.0
slim shady,1.0,0.0
membership,0.0,2.0
trade,1.0,0.0
document tracker,0.0,3.0
about,0.0,1.0
today,1.0,0.0
well,1.0,0.0
re,1.0,0.0
congratulations,1.0,0.0
your account,1.0,0.0
102514,0.0,1.0
youre not,1.0,0.0
date ordered,0.0,1.0
name,1.0,0.0
discounts,1.0,0.0
records mini,1.0,0.0
updates,1.0,0.0
my name,1.0,0.0
awful love,1.0,0.0
at,0.0,1.0
you,1.0,0.0
adult,1.0,0.0
name is,1.0,0.0
gre,0.0,1.0
youre,1.0,0.0
18134123,0.0,1.0
its amazing,1.0,0.0
nonblocking,1.0,0.0
member of,1.0,0.0
account management,1.0,0.0
ordered,0.0,1.0
pre,1.0,0.0
not having,1.0,0.0
card is,1.0,0.0
our,1.0,0.0
dating beautiful,1.0,0.0
at fuji,0.0,1.0
expired,0.0,1.0
reason,1.0,0.0
for,1.0,3.0
receipt,0.0,1.0
looking for,1.0,0.0
what did,1.0,0.0
course,0.0,1.0
of,1.0,2.0
hook up,1.0,0.0
slim,1.0,0.0
are,1.0,0.0
fuji,0.0,1.0
trade really,1.0,0.0
kathys looking,1.0,0.0
102514 at,0.0,1.0
developer program,0.0,2.0
thoughts,0.0,1.0
4885913 date,0.0,1.0
transfer,0.0,1.0
or,1.0,0.0
alert,0.0,3.0
for the,0.0,1.0
wont believe,1.0,0.0
did,1.0,0.0
suge,1.0,0.0
song for,1.0,0.0
atm card,1.0,0.0
want a,1.0,0.0
not,1.0,0.0
future of,0.0,1.0
funds,0.0,1.0
one of,1.0,0.0
for order,0.0,1.0
about your,0.0,1.0
of one,1.0,0.0
admission to,0.0,1.0
records,1.0,0.0
your application,0.0,1.0
plans,0.0,1.0
reminder,0.0,1.0
funds transfer,0.0,1.0
a gift,0.0,1.0
franklin,0.0,1.0
ord,1.0,0.0
order 18134123,0.0,1.0
ems,0.0,1.0
really get,1.0,0.0
looking,1.0,0.0
paid,1.0,0.0
southern,0.0,1.0
4885913,0.0,1.0
love song,1.0,0.0
chutes ord,1.0,0.0
tracker,0.0,3.0
really well,1.0,0.0
mini,1.0,0.0
want,1.0,0.0
receipt for,0.0,1.0
a new,1.0,0.0
appreciation,1.0,0.0
reminder kaplan,0.0,1.0
beautiful,1.0,0.0
did suge,1.0,0.0
my,1.0,0.0
reason youre,1.0,0.0
really,1.0,0.0
account,1.0,0.0
fund your,1.0,0.0
kaplan,0.0,1.0
renew,0.0,1.0
left to,0.0,1.0
past or,1.0,0.0
love,1.0,0.0
thompson,0.0,1.0
saturday,0.0,1.0
fund,1.0,0.0
well fund,1.0,0.0
order 4885913,0.0,1.0
offer updates,1.0,0.0
work,1.0,0.0
fling,1.0,0.0
a pre,1.0,0.0
paid to,1.0,0.0
p harmz,1.0,0.0
days left,0.0,1.0
ord er,1.0,0.0
program,0.0,2.0
of southern,0.0,1.0
california receipt,0.0,1.0
membership has,0.0,1.0
prepared,0.0,1.0
kathys,1.0,0.0
this,1.0,0.0
claims no70351992,1.0,0.0
management,1.0,0.0
new fling,1.0,0.0
southern california,0.0,1.0
er p,1.0,0.0
one,1.0,0.0
for a,1.0,0.0
from,0.0,1.0
believe,1.0,0.0
awful,1.0,0.0
your thoughts,0.0,1.0
super,1.0,0.0
atm,1.0,0.0
real,1.0,0.0
5 days,0.0,1.0
order,0.0,2.0
appreciation offer,1.0,0.0
milfs,1.0,0.0
your tickets,0.0,1.0
ut austin,0.0,1.0
are a,1.0,0.0
ios developer,0.0,2.0
believe this,1.0,0.0
is ready,1.0,0.0
application,0.0,1.0
is,1.0,0.0
university,0.0,1.0
it,1.0,0.0
urgent,1.0,0.0
your,1.0,6.0
paypal,0.0,1.0
for kim,1.0,0.0
offer,1.0,0.0
real reason,1.0,0.0
the,1.0,1.0
past,1.0,0.0
you are,1.0,0.0
naked,1.0,0.0
harmz nonblocking,1.0,0.0
lady,1.0,0.0
night,0.0,1.0
saturday night,0.0,1.0
renew your,0.0,1.0
miss,1.0,0.0
