Word,SpamMessages,RealMessages
quality top,2.0,0.0
to according,0.0,1.0
your,3.2,0.8
came,1.0,0.0
weakest,2.0,0.0
the,4.0,0.0
im,1.0,0.0
in,2.0,0.0
guide step,1.0,0.0
500000000usd,1.0,0.0
finishing on,0.0,1.0
paid get,2.0,0.0
prices,2.0,0.0
step,2.0,0.0
mobile enterprise,1.0,0.0
